Date,Close_price,Individual,Foreigner,Organ,Finance,Insurance,Investment,Bank,Other_finance,Pension_fund,Other_corporations,Other_foreiner,Private_fund
2024-09-20,"63,000","5,046,717","-6,354,749","1,239,652","1,293,747","10,278","8,487","11,514","29,853","-89,518",-577,"68,957","-24,709"
2024-09-19,"63,100","9,125,117","-14,624,539","5,359,556","5,200,252","46,618","112,233","-19,694","8,773","-19,141","110,633","29,233","30,515"
2024-09-13,"64,400","10,383,580","-12,146,351","492,192","1,045,402","-94,679","-173,873","-44,898","2,612","-220,354","1,245,708","24,871","-22,018"
2024-09-12,"66,300","4,930,516","-5,241,082","893,581","775,889","105,392","373,800","-2,261","7,231","-506,672","-621,581","38,566","140,202"
2024-09-11,"64,900","13,419,882","-13,956,188","-608,807","92,211","-60,334","-401,401","-4,579","-2,089","-193,107","1,137,335","7,778","-39,508"
2024-09-10,"66,200","9,884,492","-8,866,407","-1,283,398","-931,001","-269,572","-163,229","-17,417","-3,257","158,212","192,317","72,996","-57,134"
2024-09-09,"67,500","6,334,447","-5,757,335","-805,258","-406,458","-13,829","-56,194","16,959","-58,132","-118,116","208,602","19,544","-169,488"
2024-09-06,"68,900","2,762,589","-2,430,410","-403,539","303,976","-62,393","-234,523","-8,985","2,983","-453,850","55,412","15,948","49,253"
2024-09-05,"69,000","8,854,446","-8,714,613","-367,199","299,394","-82,514","-251,663","-37,073","16,123","-257,980","204,032","23,334","-53,486"
2024-09-04,"70,000","11,021,335","-7,397,421","-4,032,669","-2,875,961","-156,020","-421,842","-118,370","9,936","-358,832","362,592","46,163","-111,580"
2024-09-03,"72,500","7,317,166","-5,815,706","-1,679,852","-879,331","-207,624","-273,528","-10,446","-13,091","-264,076","159,597","18,795","-31,756"
2024-09-02,"74,400","454,317","1,852,718","-2,373,353","-1,593,461","-49,620","-386,717","9,904","-3,173","-360,829","65,657",661,"10,543"
2024-08-30,"74,300","1,102,175","-2,520,490","1,361,771","1,635,034","-50,645","-28,389","-4,962",128,"-128,986","54,101","2,443","-60,409"
2024-08-29,"74,000","6,473,646","-4,530,798","-2,181,014","-927,628","-185,920","-320,687","-1,192","-5,312","-384,971","218,943","19,223","-355,304"
2024-08-28,"76,400","899,268","-1,470,392","533,263","750,007","155,844","5,802","-20,355","9,861","-263,547","30,733","7,128","-104,349"
2024-08-27,"75,800","1,076,022","-1,446,782","304,677","924,548","-45,844","-90,253","-10,254",145,"-343,649","62,697","3,386","-130,016"
2024-08-26,"76,100","3,064,191","-3,737,763","584,334","811,080","-34,770","-92,812","-17,017","1,073",-993,"79,418","9,820","-82,227"
2024-08-23,"77,700","465,956","-1,392,121","746,795","1,240,703","-30,188","-271,233",0,"5,633","-59,992","-53,426","232,796","-138,128"
